source,address,url,rent_eur,summary,beds,baths,furnished
property.ie,"14 Church Avenue South, Dublin 8, Rialto, Dublin 8",https://www.property.ie/property-to-let/14-Church-Avenue-South-Dublin-8-Rialto-Dublin-8/6454017/,3500,"3 bedrooms (3 double), 2 bathrooms, furnished House to Rent",3,2,Yes
property.ie,"Apartment 11, Weavers Hall, Levmoss Park, Leopardstown, Dublin 18",https://www.property.ie/property-to-let/Apartment-11-Weavers-Hall-Levmoss-Park-Leopardstown-Dublin-18/6454024/,2150,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Apartment 4, 43 South Circular Road, Dublin 8",https://www.property.ie/property-to-let/Apartment-4-43-South-Circular-Road-Dublin-8/6454001/,2286,"2 bedrooms (2 double), 1 bathroom, furnished Apartment to Rent",2,1,Yes
property.ie,"Buckingham Street Upper, Dublin 1, North Circular Road, Dublin 1",https://www.property.ie/property-to-let/Buckingham-Street-Upper-Dublin-1-North-Circular-Road-Dublin-1/6453942/,2000,"1 bedroom (1 double), 1 bathroom, furnished Flat to Rent",1,1,Yes
property.ie,"Woodview, Kingswood Cross, Kingswood, Dublin 22",https://www.property.ie/property-to-let/Woodview-Kingswood-Cross-Kingswood-Dublin-22/6453943/,1369,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished Flat to Rent",1,1,Yes
property.ie,"South Circular Road, Dolphin's Barn, Dublin 8",https://www.property.ie/property-to-let/South-Circular-Road-Dolphins-Barn-Dublin-8/6453995/,1450,Studio (1 single) Studio apartment to Rent,1,1,Unknown
property.ie,"Manders Terrace, Dublin 6, Ranelagh, Dublin 6",https://www.property.ie/property-to-let/Manders-Terrace-Dublin-6-Ranelagh-Dublin-6/6453956/,2282,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Hayworth Drive, Ongar, Dublin 15, Ongar, Dublin 15",https://www.property.ie/property-to-let/Hayworth-Drive-Ongar-Dublin-15-Ongar-Dublin-15/6453968/,3045,"3 bedrooms (3 double), 3 bathrooms, unfurnished House to Rent",3,3,No
property.ie,"2 Swan Place, Upper Leeson Street, Donnybrook, Dublin 4",https://www.property.ie/property-to-let/2-Swan-Place-Upper-Leeson-Street-Donnybrook-Dublin-4/6438267/,2700,"2 bedrooms (2 double), 1 bathroom, furnished House to Rent",2,1,Yes
property.ie,"1 Bed, Merrion Road, Dublin 4",https://www.property.ie/property-to-let/1-Bed-Merrion-Road-Dublin-4/24078466/,3500,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Thalassa, Ceanchor Road, Baily, Howth, Co. Dublin, Howth, Dublin 13",https://www.property.ie/property-to-let/Thalassa-Ceanchor-Road-Baily-Howth-Co-Dublin-Howth-Dublin-13/6453919/,9950,"4 bedrooms, 4 bathrooms, unfurnished House to Rent",4,4,No
property.ie,"Apartment 121, Ivy Exchange, Dublin 1",https://www.property.ie/property-to-let/Apartment-121-Ivy-Exchange-Dublin-1/6453790/,1900,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Annadale Drive, Dublin 9, Marino, Dublin 3",https://www.property.ie/property-to-let/Annadale-Drive-Dublin-9-Marino-Dublin-3/6451112/,3000,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished House to Rent",1,1,Yes
property.ie,"Suffolk Street, Dublin 2",https://www.property.ie/property-to-let/Suffolk-Street-Dublin-2/6453876/,2295,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Glasaree Road, Finglas, Dublin 11",https://www.property.ie/property-to-let/Glasaree-Road-Finglas-Dublin-11/6453863/,5000,"5 bedrooms (1 single, 3 double, 1 twin), 2 bathrooms, furnished House to Rent",1,2,Yes
property.ie,"75 Merrion Village, Merrion Road, Merrion, Dublin 4",https://www.property.ie/property-to-let/75-Merrion-Village-Merrion-Road-Merrion-Dublin-4/6453822/,4500,"3 bedrooms (1 single, 2 double), 2 bathrooms, unfurnished House to Rent",1,2,No
property.ie,"Newtown Hall, Hazelbrook Square, Churchtown, Dublin 14",https://www.property.ie/property-to-let/Newtown-Hall-Hazelbrook-Square-Churchtown-Dublin-14/6453765/,1735,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Credit Union Building, Rathcoole, Co. Dublin, Rathcoole, Co. Dublin",https://www.property.ie/property-to-let/Credit-Union-Building-Rathcoole-Co-Dublin-Rathcoole-Co-Dublin/6453774/,1650,"1 bedroom (1 double), 1 bathroom, unfurnished Apartment to Rent",1,1,No
property.ie,"3 Chancery Court, Chancery Lane, Dublin 2",https://www.property.ie/property-to-let/3-Chancery-Court-Chancery-Lane-Dublin-2/6451864/,2300,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Corbally Way, Dublin 24, Citywest, Co. Dublin",https://www.property.ie/property-to-let/Corbally-Way-Dublin-24-Citywest-Co-Dublin/6452969/,1500,Studio (1 single) Studio apartment to Rent,1,1,Unknown
property.ie,"Corbally Way, Dublin 24, Citywest, Co. Dublin",https://www.property.ie/property-to-let/Corbally-Way-Dublin-24-Citywest-Co-Dublin/6452966/,4400,"5 bedrooms (5 double), 2 bathrooms, furnished House to Rent",5,2,Yes
property.ie,"Castleforbes Square, Dublin 1, IFSC, Dublin 1",https://www.property.ie/property-to-let/Castleforbes-Square-Dublin-1-IFSC-Dublin-1/6453685/,3500,"3 bedrooms (3 double), 2 bathrooms, furnished Apartment to Rent",3,2,Yes
property.ie,"Apartment 8, Rathmichael, The Crescent, Knocklyon, Dublin 16",https://www.property.ie/property-to-let/Apartment-8-Rathmichael-The-Crescent-Knocklyon-Dublin-16/6453618/,1936,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Apartment 57, Rathmichael, The Crescent, Knocklyon, Dublin 16",https://www.property.ie/property-to-let/Apartment-57-Rathmichael-The-Crescent-Knocklyon-Dublin-16/6453646/,2371,"2 bedrooms (2 double), 2 bathrooms, furnished Apartment to Rent",2,2,Yes
property.ie,"Apartment 505, Block 2a, Spencer Place Residential, IFSC, Dublin 1",https://www.property.ie/property-to-let/Apartment-505-Block-2a-Spencer-Place-Residential-IFSC-Dublin-1/6453677/,2550,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"19 Stonebridge Wood, Dublin 18, Loughlinstown, Co. Dublin",https://www.property.ie/property-to-let/19-Stonebridge-Wood-Dublin-18-Loughlinstown-Co-Dublin/6453681/,3100,"3 bedrooms (3 double), 3 bathrooms, furnished Apartment to Rent",3,3,Yes
property.ie,"The Moorings, Portobello Harbour, Dublin 8, Portobello, Dublin 8",https://www.property.ie/property-to-let/The-Moorings-Portobello-Harbour-Dublin-8-Portobello-Dublin-8/6453670/,3200,"2 bedrooms (2 double), 3 bathrooms, furnished Apartment to Rent",2,3,Yes
property.ie,"44 Carlton Court, Swords, Swords, Co. Dublin",https://www.property.ie/property-to-let/44-Carlton-Court-Swords-Swords-Co-Dublin/6453616/,2950,"3 bedrooms (1 single, 2 double), 3 bathrooms, furnished or unfurnished House to Rent",1,3,No
property.ie,"Saint Lawrence Road, Dublin 3, Clontarf, Dublin 3",https://www.property.ie/property-to-let/Saint-Lawrence-Road-Dublin-3-Clontarf-Dublin-3/6453653/,1600,Studio (1 single) Studio apartment to Rent,1,1,Unknown
property.ie,"Rathmines Road Upper, Rathgar, Dublin 6",https://www.property.ie/property-to-let/Rathmines-Road-Upper-Rathgar-Dublin-6/6453614/,1500,Studio (1 single) Studio apartment to Rent,1,1,Unknown
property.ie,"Apartment 108, Block 9b, Tallaght Cross West, Tallaght, Dublin 24",https://www.property.ie/property-to-let/Apartment-108-Block-9b-Tallaght-Cross-West-Tallaght-Dublin-24/24078265/,2145,"2 bedrooms (2 double), 2 bathrooms, unfurnished Apartment to Rent",2,2,No
property.ie,"Apartment 103, Beacon One, Sandyford, Dublin 18",https://www.property.ie/property-to-let/Apartment-103-Beacon-One-Sandyford-Dublin-18/6453558/,2440,"2 bedrooms (2 double), 2 bathrooms, furnished Apartment to Rent",2,2,Yes
property.ie,"Woodview Court, Woodview, Lucan, Co. Dublin",https://www.property.ie/property-to-let/Woodview-Court-Woodview-Lucan-Co-Dublin/6453557/,2650,"2 bedrooms (2 double), 1 bathroom, furnished Apartment to Rent",2,1,Yes
property.ie,"Apartment 1, 59 Pembroke Lane, Dublin 2",https://www.property.ie/property-to-let/Apartment-1-59-Pembroke-Lane-Dublin-2/6453565/,2246,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Eden House, Cabragh, Oldtown, Co. Dublin",https://www.property.ie/property-to-let/Eden-House-Cabragh-Oldtown-Co-Dublin/6453528/,2100,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished or unfurnished Apartment to Rent",1,1,No
property.ie,"Apartment 10, 46 South Circular Road, Portobello, Dublin 8",https://www.property.ie/property-to-let/Apartment-10-46-South-Circular-Road-Portobello-Dublin-8/6453517/,1685,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"99 Ranelagh, Dublin 6, Ranelagh, Dublin 6",https://www.property.ie/property-to-let/99-Ranelagh-Dublin-6-Ranelagh-Dublin-6/6453416/,1200,Studio (1 single) Studio apartment to Rent,1,1,Unknown
property.ie,"Apartment 21, Brookwood Abbey, Artane, Dublin 5",https://www.property.ie/property-to-let/Apartment-21-Brookwood-Abbey-Artane-Dublin-5/6453346/,2203,"2 bedrooms (2 double), 2 bathrooms, furnished Apartment to Rent",2,2,Yes
property.ie,"Marino, Dublin 3, Marino, Dublin 3",https://www.property.ie/property-to-let/Marino-Dublin-3-Marino-Dublin-3/6443230/,3600,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished House to Rent",1,2,Yes
property.ie,"Frankfort Avenue, Rathgar, Dublin 6",https://www.property.ie/property-to-let/Frankfort-Avenue-Rathgar-Dublin-6/6453440/,1650,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
