source,address,url,rent_eur,summary,beds,baths,furnished
daft.ie,"Hali - Talbot & Tully Buildings , Cherrywood, Dublin 18",https://www.daft.ie/for-rent/hali-the-harcourt-building-cherrywood-dublin-18/5439956,2600,Black Friday Promotion - 1 Month Rent Free!*,2,2,Unknown
daft.ie,"Node Dublin 7, Phibsborough, D07 V10E, Dublin 7",https://www.daft.ie/for-rent/node-dublin-7-16-mountjoy-st-phibsborough-dublin-7-d07-v10e-phibsborough-dublin-7/5697463,1850,"Flexible Terms, All Inclusive Studios, Start your Co-living Adventure in the heart of the City!",1,1,Unknown
daft.ie,"Node D2 - Fitzwilliam Square, 25 Pembroke Street Upper, Dublin 2",https://www.daft.ie/for-rent/node-living-25-pembroke-street-upper-dublin-2/1527608,,"Style, Comfort, and Community!",1,1,Unknown
daft.ie,"Mayor Square, Mayor Street Lower, IFSC, Dublin 1, Dublin 1",https://www.daft.ie/for-rent/mayor-square-mayor-street-lower-ifsc-dublin-1-ifsc-dublin-1/6035838,,Outstanding Living ,1,1,Unknown
daft.ie,"DX Living , Donnybrook Road, Dublin 4",https://www.daft.ie/for-rent/dx-living-donnybrook-road-dublin-4/5926595,1850,**Bills Included** Ready to move in NOW,1,1,Unknown
daft.ie,"East Wharf, East Wall Road, Dublin 3",https://www.daft.ie/for-rent/east-wharf-east-wall-road/5920510,2150,Outsanding Living,1,1,Unknown
daft.ie,"Innovation Square, Tallaght, Dublin 24, Cookstown Road, Tallaght, Dublin 24",https://www.daft.ie/for-rent/innovation-square-tallaght-dublin-24-cookstown-road-tallaght-dublin-24/6335088,950,Cost Rental Housing,1,1,Unknown
daft.ie,"Church Fields, Mulhuddart, Dublin 15, Mulhuddart, Dublin 15",https://www.daft.ie/for-rent/church-fields-mulhuddart-dublin-15-mulhuddart-dublin-15/6332315,1250,Cost Rental Housing ,1,1,Unknown
daft.ie,"Wyckham Point, Wyckham Way, Dublin 14",https://www.daft.ie/for-rent/wyckham-point-wyckham-way/5931419,1721,Better Renting. That's Different,1,1,Unknown
daft.ie,"Hazelwood Accommodation, Northwood, Santry, Dublin 9",https://www.daft.ie/for-rent/hazelwood-accommodation-northwood-santry-dublin-9/3741188,,Student accommodation ,1,1,Unknown
daft.ie,"Station View , The Crossings , Adamstown, Co. Dublin",https://www.daft.ie/for-rent/station-view-the-crossings-adamstown-co-dublin/5356044,2020,Outstanding Living ,1,1,Unknown
daft.ie,"Seafield Strand, Greenfield Road, Sutton, Dublin 13",https://www.daft.ie/for-rent/seafield-strand-greenfield-road-sutton-dublin-13/5404491,2700,A Renaissance for Apartment Living,2,2,Unknown
daft.ie,"U Clonsilla, Windmill Lodge, Dublin 15",https://www.daft.ie/for-rent/u-clonsilla-windmill-lodge-dublin-15/4626710,1960,A place for U to call home,1,1,Unknown
daft.ie,"U Charlestown, St Margaret's Road, Finglas North, Dublin, Finglas, Dublin 11",https://www.daft.ie/for-rent/u-charlestown-st-margarets-rd-finglas-north-dublin-finglas-dublin-11/4519609,1780,Love where U live,1,1,Unknown
daft.ie,"Newmarket Yards, Dublin City Centre, Dublin 8",https://www.daft.ie/for-rent/newmarket-yards-newmarket-dublin-8/5527249,2500,We help you shape the way you live! **** Last apartments available**,1,1,Unknown
daft.ie,"The Benson, Marine School Walk, Dublin 2",https://www.daft.ie/for-rent/the-benson-marine-school-walk-dublin-2/6295929,2721,Modern living in the heart of Dublin's Docklands,1,1,Unknown
daft.ie,"Occu Hanover Mills, Dublin 2, Creighton Street, Dublin 2",https://www.daft.ie/for-rent/occu-hanover-mills-dublin-2-creighton-street-dublin-2/5897259,2881,Better Renting. That's Different.,1,2,Unknown
daft.ie,"Marshall Yards, East Road, Dublin 3",https://www.daft.ie/for-rent/marshall-yards-east-road/6141914,2350,Love Life in Dublin City,1,1,Unknown
daft.ie,"The Lookout , Harbour Road, Dalkey, Co. Dublin",https://www.daft.ie/for-rent/the-lookout-harbour-road-dalkey-co-dublin/5525100,2700,Come home to breathtaking sea views in Dalkey,2,2,Unknown
daft.ie,"Tara View , Merrion Road, Ballsbridge, Dublin 4, Dublin 4",https://www.daft.ie/for-rent/tara-view-merrion-road-ballsbridge-dublin-4-dublin-4/5619916,4350,City living by the sea ,3,2,Unknown
daft.ie,"Stoneybatter Place, Rope Walk, 20 Stoneybatter, Dublin 7, D07 NP2K, Dublin 7",https://www.daft.ie/for-rent/stoneybatter-place-rope-walk-20-stoneybatter-dublin-7-d07-np2k-dublin-7/6139765,364,Modern Student Living ,1,1,Unknown
daft.ie,"Capital Dock Residence, No. 2 Stevens Walk, Dublin 2",https://www.daft.ie/for-rent/capital-dock-residence-grand-canal-dublin-2/1443907,3589,Waterfront living at its best,2,2,Unknown
daft.ie,"Balroy Hall, Carpenterstown Road, Castleknock, Dublin 15",https://www.daft.ie/for-rent/balroy-hall-carpenterstown-road-castleknock-dublin-15/5768010,2091,Discover Luxury Living in the Heart of Castleknock,1,1,Unknown
daft.ie,"Oatlands Manor, Cherrygarth, Mount Merrion, Co. Dublin",https://www.daft.ie/for-rent/oatlands-manor-cherrygarth-mount-merrion-co-dublin/5287992,3950,Discover family comfort and convenience in Mount Merrion,2,3,Unknown
daft.ie,"St. Marnocks Bay, Portmarnock, Portmarnock, Co. Dublin",https://www.daft.ie/for-rent/st-marnocks-bay-portmarnock-portmarnock-co-dublin/3655792,2757,North Dublin Seaside homes on the Dart Line,3,2,Unknown
